State,Severity,Start_Lat,Start_Lng,distance,Temperature,Visibility,Wind_Speed(mph),severity_is_one,severity_is_two,severity_is_three,severity_is_four,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,VotingAgeCitizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,Employed,Unemployment
Illinois,236311.0,4137514.246087,-8700852.649105,22188.951009025557,5142915.3,862993.21,969350.6,255.0,62998.0,32272.0,3311.0,12829297,6297133,6532164,49396.0,187432.2,52869.2,362.8,14369.8,69.0,9023509,196819535.0,30768202.0,99359711.0,13421897.0,47856.5,6174487,26163.4
Indiana,81780.0,1312991.155809,-2836069.783759,17779.882003062216,1791771.1,289258.25,283391.9,59.0,19529.0,10601.0,2715.0,6592013,3245206,3346807,10192.4,116858.2,16693.2,300.7,2515.2,51.1,4831314,77726875.0,11414033.0,38795720.0,5211078.0,25247.5,3118071,10316.5
Kansas,13753.0,205966.972109,-503254.644941,2527.0350014587134,300906.0,46534.76,51518.1,5.0,2453.0,2518.0,322.0,2903820,1445980,1457840,9076.5,57293.3,4928.2,535.7,1856.1,44.4,2069337,43107591.0,6047689.0,21515706.0,2713776.0,10735.4,1420045,3927.9
Kentucky,55989.0,857850.601139,-1905334.599978,8345.089001782047,1306314.3,196844.37,184096.7,38.0,11835.0,9667.0,820.0,4413139,2171560,2241579,3673.2,93733.9,9131.5,202.6,1310.6,48.8,3314252,52916615.0,8982809.0,27875975.0,4048284.0,21602.3,1935189,8281.2
Louisiana,134436.0,1854678.44633,-5554097.459901,12760.80300478335,4358012.4,549061.49,483456.5,1169.0,46703.0,11703.0,1188.0,4660532,2278974,2381558,5666.4,61282.5,40737.4,541.5,1879.7,31.8,3444964,52565980.0,10345189.0,28871781.0,4698760.0,24314.0,2030937,8962.6
Massachusetts,87143.0,1533566.706283,-2579398.737371,8603.59300450556,1866479.3,315238.89,335404.5,179.0,21500.0,14160.0,371.0,6762524,3279288,3483236,17547.1,104414.9,10047.4,200.9,8813.6,37.7,4907441,114250305.0,18402877.0,57514427.0,7556314.0,17578.2,3516411,9160.5
Maryland,106402.0,1593945.825741,-3128730.129019,15097.27399518155,2326498.1,361907.23,301952.8,264.0,20101.0,15380.0,4949.0,5946986,2873781,3073205,12487.3,71046.7,42308.1,274.4,7558.2,57.3,4206754,114272281.0,16474376.0,52718077.0,6701003.0,14732.4,3029617,9138.2
Maine,4627.0,95823.049121,-152554.888676,1847.491001881178,109961.5,18283.8,17789.4,1.0,2006.0,74.0,98.0,1330158,651040,679118,534.1,32779.2,430.8,297.8,342.6,7.8,1055130,18535284.0,2860318.0,10187430.0,1301062.0,4941.4,658693,2013.1
Michigan,234766.0,4077509.645934,-8010424.074078,21067.422008947815,4811030.9,815775.82,907870.6,56.0,56807.0,33328.0,5278.0,9883619,4852578,5031041,13023.8,196580.2,47728.5,1242.7,6973.9,67.8,7397020,149494983.0,21980484.0,76677298.0,10042707.0,47632.0,4516489,23875.6
Minnesota,185450.0,3541972.902721,-7347320.664012,44211.944043132775,3140491.1,663943.65,738203.0,41.0,51013.0,27193.0,451.0,5486906,2729168,2757738,7036.9,107378.8,7975.1,1408.5,5768.5,42.2,4007042,89398023.0,10843169.0,45348128.0,4923886.0,15128.5,2902918,6020.6
